timestamp,Above 0,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 48,Above 50,Above 52,Above 55,Above 57,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2025-02-20T16:34:00Z,,,,,,,,,,59.00,,31.00,,34.00,,8.00,,20.88,1.00,,,,
2025-02-20T16:42:00Z,,,,,,,,,,59.00,,34.00,,34.00,,8.00,,20.88,1.00,,,,
2025-02-20T17:02:00Z,,,,,,,,,,59.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T17:55:00Z,,,,,,,,,,59.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T18:29:00Z,,,,,,,,,,59.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T18:30:00Z,,,,,,,,,,59.26,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T18:39:00Z,,,,,,,,,,56.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T19:12:00Z,,,,,,,,,,32.40,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T19:35:00Z,,,,,,,,,,36.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T20:04:00Z,,,,,,,,,,36.00,,34.00,,34.00,,22.37,,20.88,1.00,,,,
2025-02-20T20:07:00Z,,,,,,,,,,36.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T20:20:00Z,,,,,,,,,,48.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T20:44:00Z,,,,,,,,,,48.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T20:45:00Z,,,,,,,,,,48.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T20:50:00Z,,,,,,,,,,48.00,,30.45,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T21:23:00Z,,,,,,,,,,34.00,,29.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T21:28:00Z,,,,,,,,,,32.00,,29.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T21:30:00Z,,,,,,,,,,34.00,,29.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T21:51:00Z,,,,,,,,,,34.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T22:23:00Z,,,,,,,,,,26.00,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T22:48:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T22:53:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,,21.00,1.00,,,,
2025-02-20T23:12:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,34.00,21.00,1.00,,,,
2025-02-20T23:28:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,34.00,21.00,1.00,,,,
2025-02-20T23:29:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,34.00,21.00,1.00,,,,
2025-02-20T23:43:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.37,34.00,21.00,1.00,,,,
2025-02-20T23:55:00Z,,,,,,,,,,57.93,,34.00,,34.00,,22.28,34.00,21.00,1.00,,,,
