timestamp,Above 10,Above 15,Above 20,Above 22,Above 25,Above 27,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2026-01-16T21:01:00Z,,,,,,,,,,,,,,,,,,,,7.00
2026-01-16T21:05:00Z,,,,,,,,,,7.00,,,,,,,,,,7.00
2026-01-17T06:02:00Z,,,,,,,35.00,,,7.00,,,,,,,,,,7.00
2026-01-17T10:06:00Z,,,,,,,35.00,,,7.00,,,,,,,,,11.00,7.00
2026-01-17T15:17:00Z,,,,,,,35.00,,,7.00,,,,,,,6.77,6.77,6.77,7.00
2026-01-17T15:20:00Z,,,,,,,35.00,,,7.00,,,,,,6.77,6.77,6.77,6.77,7.00
2026-01-17T16:42:00Z,,,,,,,35.00,,,7.00,,,,,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T17:42:00Z,,,,,,,35.00,80.00,,7.00,,,,,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T18:24:00Z,,,,,,,35.00,80.00,,7.00,,,,57.00,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T20:54:00Z,,,,,,,35.00,89.00,,7.00,,,,57.00,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T21:23:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T22:07:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,29.00,6.77,6.77,6.77,6.77,7.00
2026-01-17T23:21:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,29.00,6.77,35.00,6.77,6.77,7.00
2026-01-18T00:08:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,28.00,6.77,35.00,6.77,6.77,7.00
2026-01-18T01:01:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,28.00,6.77,35.00,6.77,6.77,4.00
2026-01-18T01:54:00Z,,,,,,,35.00,89.00,,7.00,47.00,,,57.00,28.00,6.77,35.00,6.77,6.77,4.00
2026-01-18T02:13:00Z,,,,,,,35.00,89.00,,7.00,21.00,,,57.00,28.00,6.77,35.00,6.77,6.77,4.00
2026-01-18T02:29:00Z,,,,,,,35.00,89.00,,7.00,54.75,,,57.00,28.00,6.77,35.00,6.77,6.77,4.00
2026-01-18T06:29:00Z,,,,,,,35.00,89.00,,7.00,54.75,,,57.00,28.00,25.00,35.00,6.77,6.77,4.00
2026-01-18T06:33:00Z,,,,,,,35.00,89.00,,7.00,54.75,,,57.00,28.00,25.00,15.00,6.77,6.77,4.00
2026-01-18T06:37:00Z,,,,,,,35.00,89.00,,7.00,54.75,,,57.00,27.00,25.00,15.00,6.77,6.77,4.00
2026-01-18T14:52:00Z,,,,,,,35.00,89.00,,7.00,54.75,,,57.00,27.00,25.00,15.00,6.77,6.77,3.00
2026-01-18T15:28:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,27.00,25.00,15.00,6.77,6.77,3.00
2026-01-18T15:54:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,27.00,25.00,15.00,6.77,6.77,3.00
2026-01-18T16:45:00Z,,,,,,,35.00,89.00,,7.00,48.00,,,57.00,27.00,25.00,15.00,6.77,6.77,3.00
2026-01-18T17:25:00Z,,,,,,,35.00,89.00,,7.00,43.00,,,47.00,26.00,23.00,15.00,6.77,6.77,3.00
2026-01-18T19:07:00Z,,,,,,,35.00,89.00,,7.00,26.75,,,47.00,26.00,23.00,15.00,6.77,6.77,3.00
2026-01-19T00:35:00Z,,,,,,,35.00,89.00,,7.00,45.00,,,47.00,26.00,23.00,15.00,6.77,6.77,3.00
2026-01-19T02:18:00Z,,,,,,,35.00,89.00,,7.00,45.00,,,9.00,26.00,23.00,15.00,6.77,6.77,3.00
2026-01-19T02:59:00Z,,,,,,,35.00,89.00,,7.00,45.00,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T03:17:00Z,,,,,,,35.00,89.00,,7.00,46.75,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T06:26:00Z,,,,,,,35.00,89.00,,50.00,46.75,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T13:25:00Z,,,,,,,35.00,89.00,,50.00,46.75,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T16:01:00Z,,,,,,,35.00,89.00,,63.84,46.75,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T16:18:00Z,,,,,,,35.00,89.00,,63.84,46.75,,,9.00,26.00,23.00,15.00,6.77,3.00,3.00
2026-01-19T16:32:00Z,,,,,,,35.00,89.00,,63.84,46.75,,,9.00,26.00,23.00,15.00,3.00,3.00,3.00
2026-01-19T17:12:00Z,,,,,,,35.00,89.00,,45.52,46.75,,,9.00,26.00,23.00,15.00,3.00,3.00,3.00
2026-01-19T17:42:00Z,,,,,,,35.00,89.00,,45.52,46.75,,,9.00,26.00,23.00,13.00,3.00,3.00,3.00
2026-01-19T18:16:00Z,,,,,,,35.00,89.00,,45.52,46.75,,,9.00,26.00,18.00,13.00,3.00,3.00,3.00
2026-01-19T19:26:00Z,,,,,,,35.00,89.00,,45.52,44.00,,,9.00,26.00,18.00,13.00,3.00,3.00,3.00
2026-01-19T19:27:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,9.00,26.00,18.00,13.00,3.00,3.00,3.00
2026-01-19T19:28:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,9.00,26.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T19:29:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,29.05,26.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T19:30:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,29.05,26.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T19:33:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,29.05,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T20:17:00Z,,,,,,,35.00,89.00,,60.37,44.00,,,29.05,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T21:26:00Z,,,,,,,58.00,89.00,,60.37,34.25,,,29.05,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-19T23:24:00Z,,,,,,,58.00,89.00,,49.21,34.25,,,29.05,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-20T00:25:00Z,,,,,,,58.00,89.00,,49.21,34.25,,,27.00,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-20T00:37:00Z,,,,,,,58.00,89.00,,49.21,34.25,,,27.00,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-20T01:28:00Z,,,,,,,58.00,89.00,,49.21,34.00,,,27.00,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-20T01:31:00Z,,,,,,,58.00,89.00,,49.21,33.00,,,27.00,22.00,18.00,13.00,3.00,1.00,3.00
2026-01-20T01:45:00Z,,,,,,,58.00,89.00,,49.21,33.00,,,27.00,22.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:01:00Z,,,,,,,58.00,89.00,,34.59,33.00,,,27.00,22.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:02:00Z,,,,,,,67.00,89.00,,34.59,33.00,,,27.00,22.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:23:00Z,,,,,,,67.00,89.00,,34.59,33.00,,,9.00,9.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:24:00Z,,,,,,,67.00,89.00,,34.59,33.00,,,9.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:49:00Z,,,,,,,67.00,50.00,,34.59,33.00,,,9.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T02:52:00Z,,,,,,,67.00,50.00,,34.59,33.00,,,9.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T03:37:00Z,,,,,,,67.00,50.00,,34.72,33.00,,,9.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T04:06:00Z,,,,,,,67.00,50.00,,24.32,33.00,,,9.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T04:07:00Z,,,,,,,67.00,50.00,,24.32,33.00,,,10.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:11:00Z,,,,,,,60.00,50.00,,24.32,33.00,,,10.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:13:00Z,,,,,,,60.00,50.00,,24.32,33.00,,,20.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:15:00Z,,,,,,,60.00,50.00,,35.00,33.00,,,20.00,8.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:25:00Z,,,,,,,60.00,50.00,,35.00,33.00,,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:26:00Z,,,,,,,60.00,50.00,,35.00,33.00,,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:41:00Z,,,,,,,60.00,50.00,,35.00,33.00,26.00,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:50:00Z,,,,,,,61.00,50.00,,35.00,33.00,26.00,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:53:00Z,,,,,,,60.00,50.00,,35.00,33.00,26.00,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T05:58:00Z,,,,,,,60.00,50.00,,35.00,33.00,26.00,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T06:07:00Z,,,,,,,61.00,50.00,,35.00,30.00,26.00,,20.00,7.00,18.00,3.47,3.00,1.00,3.00
2026-01-20T06:29:00Z,,,,,,,61.00,50.00,,35.00,30.00,26.00,,20.00,7.00,18.00,9.00,3.00,1.00,3.00
2026-01-20T06:56:00Z,,,,,,,61.00,50.00,,35.00,30.00,26.00,,20.00,7.00,3.17,9.00,3.00,1.00,3.00
2026-01-20T06:58:00Z,,,,,,,61.00,50.00,,35.00,30.00,26.00,,20.00,7.00,3.17,9.00,3.00,1.00,3.00
2026-01-20T07:24:00Z,,,,,,,61.00,50.00,,39.61,30.00,26.00,,20.53,7.00,3.17,9.00,3.00,1.00,3.00
2026-01-20T07:42:00Z,,,,,,,61.00,50.00,,39.61,30.00,26.00,,20.53,7.00,3.17,9.00,3.00,2.00,3.00
2026-01-20T07:43:00Z,,,,,,,61.00,50.00,,39.61,30.00,26.00,,20.53,7.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T07:44:00Z,,,,,,,61.00,50.00,,39.61,30.00,26.00,,20.53,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T07:48:00Z,,,,,,,61.00,50.00,,39.61,30.00,26.00,,20.53,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T08:17:00Z,,,,,,,61.00,50.00,,41.00,30.00,26.00,,20.53,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T12:25:00Z,,,,,,,61.00,50.00,,40.90,30.00,26.00,,20.53,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T12:26:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,20.53,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T12:44:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,16.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T12:45:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,7.00,10.00,9.00,3.00,2.00,3.00
2026-01-20T12:52:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,7.00,3.00,9.00,3.00,2.00,3.00
2026-01-20T13:01:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,5.00,3.00,9.00,3.00,2.00,3.00
2026-01-20T13:59:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,5.00,1.00,9.00,3.00,2.00,3.00
2026-01-20T14:18:00Z,,,,,,,61.00,50.00,,40.90,29.82,26.00,,8.07,5.00,2.36,9.00,3.00,2.00,3.00
2026-01-20T14:19:00Z,,,,,,,61.00,50.00,40.50,40.90,29.82,26.00,,8.07,5.00,2.36,9.00,3.00,2.00,3.00
