ticker,event_ticker,movie_name,floor_strike,strike_type,result,open_time,close_time,settlement_ts,captured_at,candle_rows,slug,total_at_close,fresh_at_close,score_self,lastday_daylevel,as_of_id,db_joined
KXRT-ANI-15,KXRT-ANI,Animal Farm,15,greater,yes,2026-04-30T16:30:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,194,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-17,KXRT-ANI,Animal Farm,17,greater,yes,2026-04-30T16:30:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,343,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-32,KXRT-ANI,Animal Farm,32,greater,no,2026-04-28T20:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,967,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-27,KXRT-ANI,Animal Farm,27,greater,no,2026-04-28T20:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,1754,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-25,KXRT-ANI,Animal Farm,25,greater,no,2026-04-28T20:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,3771,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-22,KXRT-ANI,Animal Farm,22,greater,yes,2026-04-28T20:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,2921,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-20,KXRT-ANI,Animal Farm,20,greater,yes,2026-04-28T20:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,2566,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-95,KXRT-ANI,Animal Farm,95,greater,no,2026-04-07T14:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,85,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-90,KXRT-ANI,Animal Farm,90,greater,no,2026-04-07T14:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,62,animal_farm_2025,45,9,20,0,649484,True
KXRT-ANI-85,KXRT-ANI,Animal Farm,85,greater,no,2026-04-07T14:00:00Z,2026-05-04T14:00:00Z,2026-05-04T15:38:31.500701Z,2026-06-10T03:44:43Z,185,animal_farm_2025,45,9,20,0,649484,True
