run_ts,event_ticker,movie_name,close_time,n_markets,slug,n_reviews_db
2026-06-10T03:44:43Z,KXRT-AVE,Avengers: Doomsday,2026-12-21T15:00:00Z,10,,0
2026-06-10T03:44:43Z,KXRT-DEA,The Death of Robin Hood,2026-06-22T14:00:00Z,10,,0
2026-06-10T03:44:43Z,KXRT-DIS,Disclosure Day,2026-06-15T14:00:00Z,17,disclosure_day,132
2026-06-10T03:44:43Z,KXRT-DUNE,Dune: Part Three,2026-12-21T15:00:00Z,10,,0
2026-06-10T03:44:43Z,KXRT-GIR,Girls Like Girls,2026-06-22T14:00:00Z,10,,0
2026-06-10T03:44:43Z,KXRT-ODY,The Odyssey,2026-07-20T14:00:00Z,10,,0
2026-06-10T03:44:43Z,KXRT-SPI,Spider-Man: Brand New Day,2026-08-03T14:00:00Z,14,,0
2026-06-10T03:44:43Z,KXRT-STO,Stop! That! Train!,2026-06-15T14:00:00Z,10,stop_that_train,6
2026-06-10T03:44:43Z,KXRT-SUPE,Supergirl,2026-06-29T14:00:00Z,14,,0
2026-06-10T03:44:43Z,KXRT-TOY,Toy Story 5,2026-06-22T14:00:00Z,14,,0
2026-06-10T04:50:44Z,KXRT-AVE,Avengers: Doomsday,2026-12-21T15:00:00Z,10,,0
2026-06-10T04:50:44Z,KXRT-DEA,The Death of Robin Hood,2026-06-22T14:00:00Z,10,,0
2026-06-10T04:50:44Z,KXRT-DIS,Disclosure Day,2026-06-15T14:00:00Z,17,disclosure_day,133
2026-06-10T04:50:44Z,KXRT-DUNE,Dune: Part Three,2026-12-21T15:00:00Z,10,,0
2026-06-10T04:50:44Z,KXRT-GIR,Girls Like Girls,2026-06-22T14:00:00Z,10,,0
2026-06-10T04:50:44Z,KXRT-ODY,The Odyssey,2026-07-20T14:00:00Z,10,,0
2026-06-10T04:50:44Z,KXRT-SPI,Spider-Man: Brand New Day,2026-08-03T14:00:00Z,14,,0
2026-06-10T04:50:44Z,KXRT-STO,Stop! That! Train!,2026-06-15T14:00:00Z,10,stop_that_train,6
2026-06-10T04:50:44Z,KXRT-SUPE,Supergirl,2026-06-29T14:00:00Z,14,,0
2026-06-10T04:50:44Z,KXRT-TOY,Toy Story 5,2026-06-22T14:00:00Z,14,,0
2026-06-10T16:58:26Z,KXRT-AVE,Avengers: Doomsday,2026-12-21T15:00:00Z,10,,0
2026-06-10T16:58:26Z,KXRT-DEA,The Death of Robin Hood,2026-06-22T14:00:00Z,10,,0
2026-06-10T16:58:26Z,KXRT-DIS,Disclosure Day,2026-06-15T14:00:00Z,17,disclosure_day,144
2026-06-10T16:58:26Z,KXRT-DUNE,Dune: Part Three,2026-12-21T15:00:00Z,10,,0
2026-06-10T16:58:26Z,KXRT-GIR,Girls Like Girls,2026-06-22T14:00:00Z,10,,0
2026-06-10T16:58:26Z,KXRT-ODY,The Odyssey,2026-07-20T14:00:00Z,10,,0
2026-06-10T16:58:26Z,KXRT-SPI,Spider-Man: Brand New Day,2026-08-03T14:00:00Z,14,,0
2026-06-10T16:58:26Z,KXRT-STO,Stop! That! Train!,2026-06-15T14:00:00Z,10,stop_that_train,10
2026-06-10T16:58:26Z,KXRT-SUPE,Supergirl,2026-06-29T14:00:00Z,14,,0
2026-06-10T16:58:26Z,KXRT-TOY,Toy Story 5,2026-06-22T14:00:00Z,14,,0
