timestamp,Above 90,Above 92,Above 95,Above 97
2024-09-24T00:00:00Z,,,66.13,
2024-09-25T00:00:00Z,97.03,96.00,61.93,39.93
2024-09-26T00:00:00Z,97.03,97.49,92.07,51.24
2024-09-27T00:00:00Z,97.03,97.49,97.03,73.72
2024-09-28T00:00:00Z,97.03,97.49,97.03,74.61
2024-09-29T00:00:00Z,97.03,97.49,99.00,83.54
2024-09-30T00:00:00Z,97.03,97.49,99.00,92.47
