timestamp,Above 90,Above 92,Above 95,Above 97
2024-09-24T01:00:00Z,,,64.61,
2024-09-24T02:00:00Z,,,73.00,
2024-09-24T15:00:00Z,,,73.00,34.00
2024-09-24T16:00:00Z,,,73.00,35.00
2024-09-24T18:00:00Z,97.00,,61.93,33.35
2024-09-24T19:00:00Z,97.00,96.00,61.93,51.00
2024-09-24T21:00:00Z,97.00,96.00,61.93,52.92
2024-09-25T03:00:00Z,97.00,96.00,61.93,33.00
2024-09-25T04:00:00Z,99.00,96.00,61.93,53.00
2024-09-25T13:00:00Z,99.00,96.00,61.93,54.00
2024-09-25T16:00:00Z,99.00,96.00,61.93,41.32
2024-09-25T17:00:00Z,99.00,95.00,61.93,37.00
2024-09-25T18:00:00Z,99.00,96.00,61.93,52.29
2024-09-25T19:00:00Z,99.00,98.00,61.93,52.29
2024-09-25T20:00:00Z,99.00,98.00,61.93,59.00
2024-09-26T00:00:00Z,99.00,98.00,61.93,65.00
2024-09-26T03:00:00Z,99.00,98.00,83.00,56.00
2024-09-26T04:00:00Z,99.00,99.00,93.62,56.00
2024-09-26T14:00:00Z,99.00,99.00,93.62,70.00
2024-09-26T15:00:00Z,99.00,99.00,93.62,75.59
2024-09-26T16:00:00Z,99.00,99.00,93.62,81.00
2024-09-26T17:00:00Z,99.00,99.00,96.00,71.65
2024-09-26T23:00:00Z,99.00,99.00,96.00,79.00
2024-09-27T00:00:00Z,99.00,99.00,98.00,79.00
2024-09-27T01:00:00Z,99.00,99.00,98.00,49.63
2024-09-27T16:00:00Z,99.00,99.00,98.00,83.00
2024-09-27T17:00:00Z,99.00,99.00,98.00,72.41
2024-09-27T20:00:00Z,99.00,99.00,98.00,81.00
2024-09-27T21:00:00Z,99.00,99.00,98.00,81.00
2024-09-27T23:00:00Z,99.00,99.00,98.00,79.37
2024-09-28T01:00:00Z,99.00,99.00,98.00,80.00
2024-09-28T02:00:00Z,99.00,99.00,98.00,75.49
2024-09-28T04:00:00Z,99.00,99.00,98.00,68.45
2024-09-28T16:00:00Z,99.00,99.00,98.00,74.00
2024-09-28T19:00:00Z,99.00,99.00,98.00,76.00
2024-09-28T21:00:00Z,99.00,99.00,98.00,85.14
2024-09-28T23:00:00Z,99.00,99.00,98.00,87.00
2024-09-29T00:00:00Z,99.00,99.00,99.00,87.00
2024-09-29T01:00:00Z,99.00,99.00,99.00,76.00
2024-09-29T14:00:00Z,99.00,99.00,99.00,91.08
2024-09-29T15:00:00Z,99.00,99.00,99.00,84.00
2024-09-29T20:00:00Z,99.00,99.00,99.00,92.00
2024-09-29T21:00:00Z,99.00,99.00,99.00,92.00
2024-09-29T22:00:00Z,99.00,99.00,99.00,94.13
2024-09-30T14:00:00Z,99.00,99.00,98.78,97.86
